donor_name_e,variable,2023-2024,comment,policy_markers_names,marker,donor_name_text
Greece,climate_adaptation,100,"",Climate adaptation,climate_adaptation,Greece
Spain,climate_adaptation,99.47,"",Climate adaptation,climate_adaptation,Spain
Slovenia,climate_adaptation,87.06,"",Climate adaptation,climate_adaptation,Slovenia
Czechia,climate_adaptation,98.98,"",Climate adaptation,climate_adaptation,Czechia
Slovak Republic,climate_adaptation,99.97,"",Climate adaptation,climate_adaptation,the Slovak Republic
Hungary,climate_adaptation,20.92,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Climate adaptation,climate_adaptation,Hungary
Poland,climate_adaptation,67.07,"",Climate adaptation,climate_adaptation,Poland
Romania,climate_adaptation,48.72,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Climate adaptation,climate_adaptation,Romania
Estonia,climate_adaptation,39.05,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Climate adaptation,climate_adaptation,Estonia
Latvia,climate_adaptation,99.87,"",Climate adaptation,climate_adaptation,Latvia
Lithuania,climate_adaptation,55.99,"",Climate adaptation,climate_adaptation,Lithuania
Canada,climate_adaptation,99.96,"",Climate adaptation,climate_adaptation,Canada
United States,climate_adaptation,100,"",Climate adaptation,climate_adaptation,the United States
Japan,climate_adaptation,98.02,"",Climate adaptation,climate_adaptation,Japan
Korea,climate_adaptation,99.17,"",Climate adaptation,climate_adaptation,Korea
Australia,climate_adaptation,100,"",Climate adaptation,climate_adaptation,Australia
New Zealand,climate_adaptation,100,"",Climate adaptation,climate_adaptation,New Zealand
EU Institutions,climate_adaptation,100,"",Climate adaptation,climate_adaptation,the EU Institutions
Austria,climate_mitigation,99.97,"",Climate mitigation,climate_mitigation,Austria
Belgium,climate_mitigation,71.37,"",Climate mitigation,climate_mitigation,Belgium
Denmark,climate_mitigation,89.33,"",Climate mitigation,climate_mitigation,Denmark
France,climate_mitigation,90.74,"",Climate mitigation,climate_mitigation,France
Germany,climate_mitigation,93.01,"",Climate mitigation,climate_mitigation,Germany
Italy,climate_mitigation,83.75,"",Climate mitigation,climate_mitigation,Italy
Netherlands,climate_mitigation,100,"",Climate mitigation,climate_mitigation,the Netherlands
Norway,climate_mitigation,100,"",Climate mitigation,climate_mitigation,Norway
Portugal,climate_mitigation,99.31,"",Climate mitigation,climate_mitigation,Portugal
Sweden,climate_mitigation,95.45,"",Climate mitigation,climate_mitigation,Sweden
Switzerland,climate_mitigation,100,"",Climate mitigation,climate_mitigation,Switzerland
United Kingdom,climate_mitigation,93.39,"",Climate mitigation,climate_mitigation,the United Kingdom
Finland,climate_mitigation,99.17,"",Climate mitigation,climate_mitigation,Finland
Iceland,climate_mitigation,100,"",Climate mitigation,climate_mitigation,Iceland
Ireland,climate_mitigation,92.35,"",Climate mitigation,climate_mitigation,Ireland
Luxembourg,climate_mitigation,100,"",Climate mitigation,climate_mitigation,Luxembourg
Greece,climate_mitigation,100,"",Climate mitigation,climate_mitigation,Greece
Spain,climate_mitigation,99.47,"",Climate mitigation,climate_mitigation,Spain
Slovenia,climate_mitigation,87.06,"",Climate mitigation,climate_mitigation,Slovenia
Czechia,climate_mitigation,98.98,"",Climate mitigation,climate_mitigation,Czechia
Slovak Republic,climate_mitigation,99.97,"",Climate mitigation,climate_mitigation,the Slovak Republic
Hungary,climate_mitigation,20.24,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Climate mitigation,climate_mitigation,Hungary
Poland,climate_mitigation,67.06,"",Climate mitigation,climate_mitigation,Poland
Romania,climate_mitigation,48.72,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Climate mitigation,climate_mitigation,Romania
Estonia,climate_mitigation,39.05,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Climate mitigation,climate_mitigation,Estonia
Latvia,climate_mitigation,100,"",Climate mitigation,climate_mitigation,Latvia
Lithuania,climate_mitigation,59.36,"",Climate mitigation,climate_mitigation,Lithuania
Canada,climate_mitigation,99.91,"",Climate mitigation,climate_mitigation,Canada
United States,climate_mitigation,100,"",Climate mitigation,climate_mitigation,the United States
Japan,climate_mitigation,97.97,"",Climate mitigation,climate_mitigation,Japan
Korea,climate_mitigation,99.18,"",Climate mitigation,climate_mitigation,Korea
Australia,climate_mitigation,100,"",Climate mitigation,climate_mitigation,Australia
New Zealand,climate_mitigation,100,"",Climate mitigation,climate_mitigation,New Zealand
EU Institutions,climate_mitigation,100,"",Climate mitigation,climate_mitigation,the EU Institutions
Austria,desertification,99.97,"",Desertification,desertification,Austria
Belgium,desertification,69.65,"",Desertification,desertification,Belgium
Denmark,desertification,89.84,"",Desertification,desertification,Denmark
France,desertification,43.17,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Desertification,desertification,France
Germany,desertification,91.58,"",Desertification,desertification,Germany
Italy,desertification,82.33,"",Desertification,desertification,Italy
Netherlands,desertification,100,"",Desertification,desertification,the Netherlands
Norway,desertification,100,"",Desertification,desertification,Norway
Portugal,desertification,99.31,"",Desertification,desertification,Portugal
Sweden,desertification,95.27,"",Desertification,desertification,Sweden
Switzerland,desertification,100,"",Desertification,desertification,Switzerland
United Kingdom,desertification,90.13,"",Desertification,desertification,the United Kingdom
Finland,desertification,99.17,"",Desertification,desertification,Finland
Iceland,desertification,100,"",Desertification,desertification,Iceland
Ireland,desertification,91.53,"",Desertification,desertification,Ireland
Luxembourg,desertification,100,"",Desertification,desertification,Luxembourg
Greece,desertification,100,"",Desertification,desertification,Greece
Spain,desertification,99.46,"",Desertification,desertification,Spain
Slovenia,desertification,70.85,"",Desertification,desertification,Slovenia
Czechia,desertification,98.98,"",Desertification,desertification,Czechia
Slovak Republic,desertification,99.97,"",Desertification,desertification,the Slovak Republic
Hungary,desertification,20.91,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Desertification,desertification,Hungary
Poland,desertification,66.11,"",Desertification,desertification,Poland
Romania,desertification,48.72,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Desertification,desertification,Romania
Estonia,desertification,39.04,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Desertification,desertification,Estonia
Latvia,desertification,100,"",Desertification,desertification,Latvia
Lithuania,desertification,59.37,"",Desertification,desertification,Lithuania
Canada,desertification,99.7,"",Desertification,desertification,Canada
United States,desertification,0,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Desertification,desertification,the United States
Japan,desertification,95.86,"",Desertification,desertification,Japan
Korea,desertification,98.85,"",Desertification,desertification,Korea
Australia,desertification,100,"",Desertification,desertification,Australia
New Zealand,desertification,100,"",Desertification,desertification,New Zealand
EU Institutions,desertification,100,"",Desertification,desertification,the EU Institutions
